IACO,Reg,Desc,Plane Type,Blah,BlahBlah
AE1720,06-3814,USAF,Raytheon T-6A Texan II,,
AE1721,06-3815,USAF,Raytheon T-6A Texan II,,
AE1722,06-3816,USAF,Raytheon T-6A Texan II,,
AE1723,06-3817,USAF,Raytheon T-6A Texan II,,
AE1724,06-3818,USAF,Raytheon T-6A Texan II,,
AE1725,06-3819,USAF,Raytheon T-6A Texan II,,
AE1726,06-3820,USAF,Raytheon T-6A Texan II,,
AE1727,06-3821,USAF,Raytheon T-6A Texan II,,
AE1728,06-3822,USAF,Raytheon T-6A Texan II,,
AE1729,06-3823,USAF,Raytheon T-6A Texan II,,
AE172A,06-3824,USAF,Raytheon T-6A Texan II,,
AE172B,06-3825,USAF,Raytheon T-6A Texan II,,
AE172C,06-3826,USAF,Raytheon T-6A Texan II,,
AE172D,06-3827,USAF,Raytheon T-6A Texan II,,
AE172E,06-3828,USAF,Raytheon T-6A Texan II,,
AE172F,06-3829,USAF,Raytheon T-6A Texan II,,
AE1730,06-3830,USAF,Raytheon T-6A Texan II,,
AE1731,06-3831,USAF,Raytheon T-6A Texan II,,
AE1732,06-3832,USAF,Raytheon T-6A Texan II,,
AE1733,06-3833,USAF,Raytheon T-6A Texan II,,
AE1734,06-3834,USAF,Raytheon T-6A Texan II,,
AE1735,06-3835,USAF,Raytheon T-6A Texan II,,
AE1736,06-3836,USAF,Raytheon T-6A Texan II,,
AE1737,06-3837,USAF,Raytheon T-6A Texan II,,
AE1738,06-3838,USAF,Raytheon T-6A Texan II,,
AE1739,06-3839,USAF,Raytheon T-6A Texan II,,
AE173A,06-3840,USAF,Raytheon T-6A Texan II,,
AE173B,06-3841,USAF,Raytheon T-6A Texan II,,
AE173C,06-3842,USAF,Raytheon T-6A Texan II,,
AE173D,06-3843,USAF,Raytheon T-6A Texan II,,
AE173F,06-3845,USAF,Raytheon T-6A Texan II,,
AE1740,06-3846,USAF,Raytheon T-6A Texan II,,
AE1741,06-3847,USAF,Raytheon T-6A Texan II,,
AE1742,06-3848,USAF,Raytheon T-6A Texan II,,
AE1743,06-3849,USAF,Raytheon T-6A Texan II,,
AE1744,06-3850,USAF,Raytheon T-6A Texan II,,
AE1746,06-3852,USAF,Raytheon T-6A Texan II,,
AE1747,06-3853,USAF,Raytheon T-6A Texan II,,
AE1748,06-3854,USAF,Raytheon T-6A Texan II,,
AE1749,06-3855,USAF,Raytheon T-6A Texan II,,
AE174A,06-3856,USAF,Raytheon T-6A Texan II,,
AE174B,06-3857,USAF,Raytheon T-6A Texan II,,
AE174C,06-3858,USAF,Raytheon T-6A Texan II,,
AE174D,06-3859,USAF,Raytheon T-6A Texan II,,
AE174E,06-3860,USAF,Raytheon T-6A Texan II,,
AE174F,06-3861,USAF,Raytheon T-6A Texan II,,
AE1750,06-3862,USAF,Raytheon T-6A Texan II,,
AE1751,06-3863,USAF,Raytheon T-6A Texan II,,
AE1752,06-3864,USAF,Raytheon T-6A Texan II,,
AE1753,06-3865,USAF,Raytheon T-6A Texan II,,
AE1754,06-3866,USAF,Raytheon T-6A Texan II,,
AE1788,91-0317,USAF,F-15E Eagle,,
AE1789,00-3001,USAF,F-15E Eagle,,
AE178A,91-0306,USAF,F-15E Eagle,,
AE178B,00-3000,USAF,F-15E Eagle,,
AE178C,91-0315,USAF,F-15E Eagle,,
AE178D,91-0602,USAF,F-15E Eagle,,
AE178E,91-0604,USAF,F-15E Eagle,,
AE178F,01-2001,USAF,F-15E Eagle,,
AE1790,00-3004,USAF,F-15E Eagle,,
AE1791,01-2002,USAF,F-15E Eagle,,
AE1792,00-3003,USAF,F-15E Eagle,,
AE1793,01-2003,USAF,F-15E Eagle,,
AE1795,00-3002,USAF,F-15E Eagle,,
AE1796,91-0335,USAF,F-15E Eagle,,
AE1797,91-0310,USAF,F-15E Eagle,,
AE1798,91-0314,USAF,F-15E Eagle,,
AE1799,Tactical,USAF,F-15E Eagle,,
AE179A,91-0603,USAF,F-15E Eagle,,
AE179B,91-0313,USAF,F-15E Eagle,,
AE179C,91-0316,USAF,F-15E Eagle,,
AE179D,91-0318,USAF,F-15E Eagle,,
AE179E,91-0320,USAF,F-15E Eagle,,
AE179F,91-0324,USAF,F-15E Eagle,,
AE17A0,91-0326,USAF,F-15E Eagle,,
AE17A1,91-0331,USAF,F-15E Eagle,,
AE17A2,91-0334,USAF,F-15E Eagle,,
AE17A3,01-2004,USAF,F-15E Eagle,,
AE17A4,91-0301,USAF,F-15E Eagle,,
AE17A5,91-0302,USAF,F-15E Eagle,,
AE17A6,91-0303,USAF,F-15E Eagle,,
AE17A8,91-0307,USAF,F-15E Eagle,,
AE17A9,91-0308,USAF,F-15E Eagle,,
AE17AA,91-0309,USAF,F-15E Eagle,,
AE17AB,91-0311,USAF,F-15E Eagle,,
AE17AC,91-0312,USAF,F-15E Eagle,,
AE17AD,91-0321,USAF,F-15E Eagle,,
AE17AE,91-0329,USAF,F-15E Eagle,,
AE17AF,91-0332,USAF,F-15E Eagle,,
AE17B0,92-0364,USAF,F-15E Eagle,,
AE17B1,96-0201,USAF,F-15E Eagle,,
AE17B2,96-0202,USAF,F-15E Eagle,,
AE17B3,96-0204,USAF,F-15E Eagle,,
AE17B4,96-0205,USAF,F-15E Eagle,,
AE17B6,97-0218,USAF,F-15E Eagle,,
AE17B7,97-0219,USAF,F-15E Eagle,,
AE17B8,97-0220,USAF,F-15E Eagle,,
AE17B9,97-0221,USAF,F-15E Eagle,,
AE17BA,97-0222,USAF,F-15E Eagle,,
AE17BB,98-0131,USAF,F-15E Eagle,,
AE17BD,98-0133,USAF,F-15E Eagle,,
AE17BE,98-0134,USAF,F-15E Eagle,,
AE17BF,98-0135,USAF,F-15E Eagle,,
AE17EF,05-0730,USAF,Boeing C-40C,,
AE189A,05-4613,USAF,Boeing C-40C,,
AE189C,05-0932,USAF,Boeing C-40C,,
AE18AE,78-0631,USAF,A-10 Thunderbolt II,,
AE18B3,78-0638,USAF,A-10 Thunderbolt II,,
AE18B6,78-0632,USAF,A-10 Thunderbolt II,,
AE18B7,78-0633,USAF,A-10 Thunderbolt II,,
AE18BA,78-0646,USAF,A-10 Thunderbolt II,,
AE18BB,78-0647,USAF,A-10 Thunderbolt II,,
AE18BC,78-0649,USAF,A-10 Thunderbolt II,,
AE18BD,78-0650,USAF,A-10 Thunderbolt II,,
AE18BF,78-0652,USAF,A-10 Thunderbolt II,,
AE18C1,78-0655,USAF,A-10 Thunderbolt II,,
AE18CA,78-0658,USAF,A-10 Thunderbolt II,,
AE18CB,78-0659,USAF,A-10 Thunderbolt II,,
AE18CC,78-0670,USAF,A-10 Thunderbolt II,,
AE18CD,78-0671,USAF,A-10 Thunderbolt II,,
AE18CE,78-0673,USAF,A-10 Thunderbolt II,,
AE18CF,78-0674,USAF,A-10 Thunderbolt II,,
AE18D0,78-0679,USAF,A-10 Thunderbolt II,,
AE18D2,78-0683,USAF,A-10 Thunderbolt II,,
AE18D3,78-0685,USAF,A-10 Thunderbolt II,,
AE18D4,78-0688,USAF,A-10 Thunderbolt II,,
AE18D5,78-0689,USAF,A-10 Thunderbolt II,,
AE18D6,78-0692,USAF,A-10 Thunderbolt II,,
AE18D7,78-0693,USAF,A-10 Thunderbolt II,,
AE18D8,78-0694,USAF,A-10 Thunderbolt II,,
AE18D9,78-0696,USAF,A-10 Thunderbolt II,,
AE18DA,78-0697,USAF,A-10 Thunderbolt II,,
AE18DB,78-0701,USAF,A-10 Thunderbolt II,,
AE18DD,78-0703,USAF,A-10 Thunderbolt II,,
AE18E0,78-0682,USAF,A-10 Thunderbolt II,,
AE18E1,78-0709,USAF,A-10 Thunderbolt II,,
AE18E2,78-0712,USAF,A-10 Thunderbolt II,,
AE18E3,79-0082,USAF,A-10 Thunderbolt II,,
AE18E4,79-0084,USAF,A-10 Thunderbolt II,,
AE18E5,79-0086,USAF,A-10 Thunderbolt II,,
AE18E6,79-0087,USAF,A-10 Thunderbolt II,,
AE18E7,79-0088,USAF,A-10 Thunderbolt II,,
AE18E8,79-0090,USAF,A-10 Thunderbolt II,,
AE18E9,79-0091,USAF,A-10 Thunderbolt II,,
AE18EA,79-0092,USAF,A-10 Thunderbolt II,,
AE18EB,79-0093,USAF,A-10 Thunderbolt II,,
AE18EC,78-0702,USAF,A-10 Thunderbolt II,,
AE18ED,79-0095,USAF,A-10 Thunderbolt II,,
AE18EE,79-0104,USAF,A-10 Thunderbolt II,,
AE18EF,78-0705,USAF,A-10 Thunderbolt II,,
AE18F0,78-0706,USAF,A-10 Thunderbolt II,,
AE18F1,79-0107,USAF,A-10 Thunderbolt II,,
AE18F2,79-0108,USAF,A-10 Thunderbolt II,,
AE18F3,79-0109,USAF,A-10 Thunderbolt II,,
AE18F4,79-0110,USAF,A-10 Thunderbolt II,,
AE18F5,79-0111,USAF,A-10 Thunderbolt II,,
AE18F7,79-0114,USAF,A-10 Thunderbolt II,,
AE18F8,79-0117,USAF,A-10 Thunderbolt II,,
AE18F9,79-0118,USAF,A-10 Thunderbolt II,,
AE18FA,79-0119,USAF,A-10 Thunderbolt II,,
AE18FB,79-0120,USAF,A-10 Thunderbolt II,,
AE18FC,79-0121,USAF,A-10 Thunderbolt II,,
AE18FD,79-0122,USAF,A-10 Thunderbolt II,,
AE18FE,79-0123,USAF,A-10 Thunderbolt II,,
AE18FF,79-0129,USAF,A-10 Thunderbolt II,,
AE1900,79-0134,USAF,A-10 Thunderbolt II,,
AE1901,79-0135,USAF,A-10 Thunderbolt II,,
AE1902,79-0136,USAF,A-10 Thunderbolt II,,
AE1903,79-0138,USAF,A-10 Thunderbolt II,,
AE1904,79-0139,USAF,A-10 Thunderbolt II,,
AE1906,79-0142,USAF,A-10 Thunderbolt II,,
AE1907,79-0144,USAF,A-10 Thunderbolt II,,
AE1916,79-0164,USAF,A-10 Thunderbolt II,,
AE1927,79-0154,USAF,A-10 Thunderbolt II,,
AE192D,79-0165,USAF,A-10 Thunderbolt II,,
AE1932,79-0199,USAF,A-10 Thunderbolt II,,
AE1933,79-0201,USAF,A-10 Thunderbolt II,,
AE1934,79-0202,USAF,A-10 Thunderbolt II,,
AE1936,79-0177,USAF,A-10 Thunderbolt II,,
AE1937,79-0207,USAF,A-10 Thunderbolt II,,
AE1938,79-0209,USAF,A-10 Thunderbolt II,,
AE1939,79-0210,USAF,A-10 Thunderbolt II,,
AE193A,79-0211,USAF,A-10 Thunderbolt II,,
AE193B,79-0213,USAF,A-10 Thunderbolt II,,
AE193C,79-0216,USAF,A-10 Thunderbolt II,,
AE193D,79-0219,USAF,A-10 Thunderbolt II,,
AE193E,79-0223,USAF,A-10 Thunderbolt II,,
AE193F,80-0140,USAF,A-10 Thunderbolt II,,
AE1943,80-0146,USAF,A-10 Thunderbolt II,,
AE1945,80-0149,USAF,A-10 Thunderbolt II,,
AE1947,80-0151,USAF,A-10 Thunderbolt II,,
AE1948,80-0152,USAF,A-10 Thunderbolt II,,
AE1949,80-0153,USAF,A-10 Thunderbolt II,,
AE194B,80-0159,USAF,A-10 Thunderbolt II,,
AE194C,80-0160,USAF,A-10 Thunderbolt II,,
AE194D,80-0162,USAF,A-10 Thunderbolt II,,
AE194E,80-0163,USAF,A-10 Thunderbolt II,,
AE194F,80-0164,USAF,A-10 Thunderbolt II,,
AE1951,80-0166,USAF,A-10 Thunderbolt II,,
AE1952,80-0167,USAF,A-10 Thunderbolt II,,
AE1955,80-0171,USAF,A-10 Thunderbolt II,,
AE1956,80-0172,USAF,A-10 Thunderbolt II,,
AE1957,80-0173,USAF,A-10 Thunderbolt II,,
AE1958,80-0175,USAF,A-10 Thunderbolt II,,
AE1959,80-0176,USAF,A-10 Thunderbolt II,,
AE195A,80-0177,USAF,A-10 Thunderbolt II,,
AE195C,80-0179,USAF,A-10 Thunderbolt II,,
AE195D,80-0180,USAF,A-10 Thunderbolt II,,
AE195E,80-0181,USAF,A-10 Thunderbolt II,,
AE195F,80-0184,USAF,A-10 Thunderbolt II,,
AE1960,80-0185,USAF,A-10 Thunderbolt II,,
AE1962,80-0187,USAF,A-10 Thunderbolt II,,
AE1963,80-0188,USAF,A-10 Thunderbolt II,,
AE1965,80-0190,USAF,A-10 Thunderbolt II,,
AE1966,80-0191,USAF,A-10 Thunderbolt II,,
AE1967,80-0192,USAF,A-10 Thunderbolt II,,
AE1968,80-0194,USAF,A-10 Thunderbolt II,,
AE1969,80-0195,USAF,A-10 Thunderbolt II,,
AE196A,80-0196,USAF,A-10 Thunderbolt II,,
AE196D,80-0201,USAF,A-10 Thunderbolt II,,
AE196F,80-0204,USAF,A-10 Thunderbolt II,,
AE1972,80-0207,USAF,A-10 Thunderbolt II,,
AE1973,80-0208,USAF,A-10 Thunderbolt II,,
AE1975,80-0211,USAF,A-10 Thunderbolt II,,
AE1976,80-0212,USAF,A-10 Thunderbolt II,,
AE1977,80-0213,USAF,A-10 Thunderbolt II,,
AE1978,80-0214,USAF,A-10 Thunderbolt II,,
AE1979,80-0215,USAF,A-10 Thunderbolt II,,
AE197B,80-0217,USAF,A-10 Thunderbolt II,,
AE197C,80-0218,USAF,A-10 Thunderbolt II,,
AE197E,80-0221,USAF,A-10 Thunderbolt II,,
AE197F,80-0222,USAF,A-10 Thunderbolt II,,
AE1980,80-0223,USAF,A-10 Thunderbolt II,,
AE1981,80-0224,USAF,A-10 Thunderbolt II,,
AE1982,80-0226,USAF,A-10 Thunderbolt II,,
AE1984,80-0229,USAF,A-10 Thunderbolt II,,
AE1985,80-0230,USAF,A-10 Thunderbolt II,,
AE1986,80-0232,USAF,A-10 Thunderbolt II,,
AE198A,80-0237,USAF,A-10 Thunderbolt II,,
AE198D,80-0240,USAF,A-10 Thunderbolt II,,
AE198E,80-0241,USAF,A-10 Thunderbolt II,,
AE198F,80-0242,USAF,A-10 Thunderbolt II,,
AE1990,80-0243,USAF,A-10 Thunderbolt II,,
AE1991,80-0244,USAF,A-10 Thunderbolt II,,
AE1992,80-0245,USAF,A-10 Thunderbolt II,,
AE1995,80-0250,USAF,A-10 Thunderbolt II,,
AE1997,80-0252,USAF,A-10 Thunderbolt II,,
AE199A,80-0255,USAF,A-10 Thunderbolt II,,
AE199B,80-0256,USAF,A-10 Thunderbolt II,,
AE199C,80-0257,USAF,A-10 Thunderbolt II,,
AE199D,80-0258,USAF,A-10 Thunderbolt II,,
AE199F,80-0262,USAF,A-10 Thunderbolt II,,
AE19A0,80-0263,USAF,A-10 Thunderbolt II,,
AE19A1,80-0264,USAF,A-10 Thunderbolt II,,
AE19A2,80-0265,USAF,A-10 Thunderbolt II,,
AE19A3,80-0267,USAF,A-10 Thunderbolt II,,
AE19A4,80-0269,USAF,A-10 Thunderbolt II,,
AE19A5,80-0270,USAF,A-10 Thunderbolt II,,
AE19A6,80-0272,USAF,A-10 Thunderbolt II,,
AE19A7,80-0273,USAF,A-10 Thunderbolt II,,
AE19A9,80-0275,USAF,A-10 Thunderbolt II,,
AE19AA,80-0276,USAF,A-10 Thunderbolt II,,
AE19AB,80-0277,USAF,A-10 Thunderbolt II,,
AE19AC,80-0278,USAF,A-10 Thunderbolt II,,
AE19AD,80-0279,USAF,A-10 Thunderbolt II,,
AE19AE,80-0280,USAF,A-10 Thunderbolt II,,
AE19AF,80-0281,USAF,A-10 Thunderbolt II,,
AE19B1,80-0283,USAF,A-10 Thunderbolt II,,
AE19B2,81-0939,USAF,A-10 Thunderbolt II,,
AE19B3,81-0941,USAF,A-10 Thunderbolt II,,
AE19B4,81-0942,USAF,A-10 Thunderbolt II,,
AE19B5,81-0943,USAF,A-10 Thunderbolt II,,
AE19B6,81-0944,USAF,A-10 Thunderbolt II,,
AE19B7,81-0945,USAF,A-10 Thunderbolt II,,
AE19BB,81-0949,USAF,A-10 Thunderbolt II,,
AE19BD,81-0951,USAF,A-10 Thunderbolt II,,
AE19C1,81-0955,USAF,A-10 Thunderbolt II,,
AE19C3,81-0958,USAF,A-10 Thunderbolt II,,
AE19C4,81-0959,USAF,A-10 Thunderbolt II,,
AE19C5,81-0960,USAF,A-10 Thunderbolt II,,
AE19C7,81-0962,USAF,A-10 Thunderbolt II,,
AE19C9,81-0964,USAF,A-10 Thunderbolt II,,
AE19CA,81-0965,USAF,A-10 Thunderbolt II,,
AE19CB,81-0966,USAF,A-10 Thunderbolt II,,
AE19CC,81-0967,USAF,A-10 Thunderbolt II,,
AE19CD,81-0969,USAF,A-10 Thunderbolt II,,
AE19CF,81-0971,USAF,A-10 Thunderbolt II,,
AE19D0,81-0973,USAF,A-10 Thunderbolt II,,
AE19D1,81-0974,USAF,A-10 Thunderbolt II,,
AE19D2,81-0975,USAF,A-10 Thunderbolt II,,
AE19D3,81-0976,USAF,A-10 Thunderbolt II,,
AE19D6,81-0979,USAF,A-10 Thunderbolt II,,
AE19D7,81-0980,USAF,A-10 Thunderbolt II,,
AE19D8,81-0981,USAF,A-10 Thunderbolt II,,
AE19DA,81-0983,USAF,A-10 Thunderbolt II,,
AE19DC,81-0985,USAF,A-10 Thunderbolt II,,
AE19DD,81-0988,USAF,A-10 Thunderbolt II,,
AE19DF,81-0990,USAF,A-10 Thunderbolt II,,
AE19E0,81-0991,USAF,A-10 Thunderbolt II,,
AE19E2,81-0994,USAF,A-10 Thunderbolt II,,
AE19E3,81-0995,USAF,A-10 Thunderbolt II,,
AE19E4,81-0996,USAF,A-10 Thunderbolt II,,
AE19E5,81-0997,USAF,A-10 Thunderbolt II,,
AE19E6,81-0998,USAF,A-10 Thunderbolt II,,
AE19E8,82-0647,USAF,A-10 Thunderbolt II,,
AE19EB,82-0650,USAF,A-10 Thunderbolt II,,
AE19EC,82-0651,USAF,A-10 Thunderbolt II,,
AE19ED,82-0652,USAF,A-10 Thunderbolt II,,
AE19EE,82-0653,USAF,A-10 Thunderbolt II,,
AE19EF,82-0654,USAF,A-10 Thunderbolt II,,
AE19F0,82-0656,USAF,A-10 Thunderbolt II,,
AE19F1,82-0657,USAF,A-10 Thunderbolt II,,
AE19F2,82-0658,USAF,A-10 Thunderbolt II,,
AE19F3,82-0659,USAF,A-10 Thunderbolt II,,
AE19F4,82-0660,USAF,A-10 Thunderbolt II,,
AE19F5,82-0661,USAF,A-10 Thunderbolt II,,
AE19F6,82-0662,USAF,A-10 Thunderbolt II,,
AE19F7,82-0663,USAF,A-10 Thunderbolt II,,
AE19F9,82-0665,USAF,A-10 Thunderbolt II,,
AE1BFF,04-08706,United States Army,Boeing-Vertol CH-47F Chinook,,
AE1C08,04-08715,United States Army,Boeing-Vertol CH-47F Chinook,,
AE1C1B,06-08027,United States Army,Boeing-Vertol CH-47F Chinook,,
AE1CBD,84-0001,USAF,F-15C Eagle,,
AE1CC3,84-0015,USAF,F-15C Eagle,,
AE1CC5,84-0027,USAF,F-15C Eagle,,
AE1CC8,86-0156,USAF,F-15C Eagle,,
AE1CCA,86-0160,USAF,F-15C Eagle,,
AE1CCB,86-0163,USAF,F-15C Eagle,,
AE1CCC,86-0164,USAF,F-15C Eagle,,
AE1CCD,86-0165,USAF,F-15C Eagle,,
AE1CCE,86-0166,USAF,F-15C Eagle,,
AE1D41,161121,United States Navy,Lockheed P-3C BMUP+ Orion,,
AE1D51,161339,United States Navy,Lockheed P-3C BMUP+ Orion,,
AE1D52,161404,United States Navy,Lockheed P-3C BMUP+ Orion,,
AE1D5A,161414,United States Navy,Lockheed P-3C BMUP+ Orion,,
AE1D5B,161415,United States Navy,Lockheed P-3C BMUP+ Orion,,
AE1D5F,161588,United States Navy,Lockheed P-3C BMUP+ Orion,,
AE1D61,161590,United States Navy,Lockheed P-3C BMUP+ Orion,,
AE1D7C,162999,United States Navy,Lockheed P-3C AIP Orion,,
AE1D85,163291,United States Navy,Lockheed P-3C-AIP+ Orion,,
AE1E43,07-3867,USAF,Raytheon T-6A Texan II,,
AE1E44,07-3868,USAF,Raytheon T-6A Texan II,,
AE1E45,07-3869,USAF,Raytheon T-6A Texan II,,
AE1E46,07-3870,USAF,Raytheon T-6A Texan II,,
AE1E47,07-3871,USAF,Raytheon T-6A Texan II,,
AE1E48,07-3872,USAF,Raytheon T-6A Texan II,,
AE1E49,07-3873,USAF,Raytheon T-6A Texan II,,
AE1E4A,07-3874,USAF,Raytheon T-6A Texan II,,
AE1E4B,07-3875,USAF,Raytheon T-6A Texan II,,
AE1E4C,07-3876,USAF,Raytheon T-6A Texan II,,
AE1E4D,07-3877,USAF,Raytheon T-6A Texan II,,
AE1E4E,07-3878,USAF,Raytheon T-6A Texan II,,
AE1E4F,07-3879,USAF,Raytheon T-6A Texan II,,
AE1E50,07-3880,USAF,Raytheon T-6A Texan II,,
AE1E51,07-3881,USAF,Raytheon T-6A Texan II,,
AE1E52,07-3882,USAF,Raytheon T-6A Texan II,,
AE1E53,07-3883,USAF,Raytheon T-6A Texan II,,
AE1E54,07-3884,USAF,Raytheon T-6A Texan II,,
AE1E55,07-3885,USAF,Raytheon T-6A Texan II,,
AE1E56,07-3886,USAF,Raytheon T-6A Texan II,,
AE1E57,07-3887,USAF,Raytheon T-6A Texan II,,
AE1E58,07-3888,USAF,Raytheon T-6A Texan II,,
AE1E59,07-3889,USAF,Raytheon T-6A Texan II,,
AE1E5B,07-3891,USAF,Raytheon T-6A Texan II,,
AE1E5C,07-3892,USAF,Raytheon T-6A Texan II,,
AE1E5D,07-3893,USAF,Raytheon T-6A Texan II,,
AE1E5E,07-3894,USAF,Raytheon T-6A Texan II,,
AE1E5F,07-3895,USAF,Raytheon T-6A Texan II,,
AE1E60,07-3896,USAF,Raytheon T-6A Texan II,,
AE1E61,07-3897,USAF,Raytheon T-6A Texan II,,
AE1E62,07-3898,USAF,Raytheon T-6A Texan II,,
AE1E63,07-3899,USAF,Raytheon T-6A Texan II,,
AE1E64,07-3900,USAF,Raytheon T-6A Texan II,,
AE1E65,07-3901,USAF,Raytheon T-6A Texan II,,
AE1E66,07-3902,USAF,Raytheon T-6A Texan II,,
AE1E67,07-3903,USAF,Raytheon T-6A Texan II,,
AE1E68,07-3904,USAF,Raytheon T-6A Texan II,,
AE1E69,07-3905,USAF,Raytheon T-6A Texan II,,
AE1E73,166021,United States Navy,Raytheon T-6A Texan II,,
AE1E78,166026,United States Navy,Raytheon Aircraft Company T-6B Texan II,,
AE1E7B,166029,United States Navy,Raytheon T-6A Texan II,,
AE1E87,08-3906,USAF,Raytheon T-6A Texan II,,
AE1E88,08-3907,USAF,Raytheon T-6A Texan II,,
AE1E89,08-3908,USAF,Raytheon T-6A Texan II,,
AE1E8A,08-3909,USAF,Raytheon T-6A Texan II,,
AE1E8B,08-3910,USAF,Raytheon T-6A Texan II,,
AE1E8C,08-3911,USAF,Raytheon T-6A Texan II,,
AE1E8D,08-3912,USAF,Raytheon T-6A Texan II,,
AE1E8E,08-3913,USAF,Raytheon T-6A Texan II,,
AE1E8F,08-3914,USAF,Raytheon T-6A Texan II,,
AE1E90,08-3915,USAF,Raytheon T-6A Texan II,,
AE1E91,08-3916,USAF,Raytheon T-6A Texan II,,
AE1E92,08-3917,USAF,Raytheon T-6A Texan II,,
AE1E93,08-3918,USAF,Raytheon T-6A Texan II,,
AE1E94,08-3919,USAF,Raytheon T-6A Texan II,,
AE1E95,08-3920,USAF,Raytheon T-6A Texan II,,
AE1E96,08-3921,USAF,Raytheon T-6A Texan II,,
AE1E97,08-3922,USAF,Raytheon T-6A Texan II,,
AE1E98,08-3923,USAF,Raytheon T-6A Texan II,,
AE1E99,08-3924,USAF,Raytheon T-6A Texan II,,
AE1E9B,08-3926,USAF,Raytheon T-6A Texan II,,
AE1E9C,08-3927,USAF,Raytheon T-6A Texan II,,
AE1E9D,08-3928,USAF,Raytheon T-6A Texan II,,
AE1E9E,08-3929,USAF,Raytheon T-6A Texan II,,
AE1E9F,08-3930,USAF,Raytheon T-6A Texan II,,
AE1EA0,08-3931,USAF,Raytheon T-6A Texan II,,
AE1EA1,08-3932,USAF,Raytheon T-6A Texan II,,
AE1EA2,08-3933,USAF,Raytheon T-6A Texan II,,
AE1EA3,08-3934,USAF,Raytheon T-6A Texan II,,
AE1EA4,08-3935,USAF,Raytheon T-6A Texan II,,
AE1EA5,08-3936,USAF,Raytheon T-6A Texan II,,
AE1EA6,08-3937,USAF,Raytheon T-6A Texan II,,
AE1EA7,08-3938,USAF,Raytheon T-6A Texan II,,
AE1EA8,08-3939,USAF,Raytheon T-6A Texan II,,
AE1EA9,08-3940,USAF,Raytheon T-6A Texan II,,
AE1EAA,08-3941,USAF,Raytheon T-6A Texan II,,
AE1EAE,166041,United States Navy,Raytheon T-6A Texan II,,
AE1EC5,166064,United States Navy,Raytheon Aircraft Company T-6B Texan II,,
AE1ECB,166070,United States Navy,Raytheon T-6A Texan II,,
AE1ECC,166071,United States Navy,Raytheon T-6A Texan II,,
AE1ED6,166081,United States Navy,Raytheon Aircraft Company T-6B Texan II,,
AE222C,167951,United States Navy,Boeing P-8A Poseidon,,
AE26CD,89-2008,USAF,F-16 Fighting Falcon,,
AE26CF,90-0796,USAF,F-16 Fighting Falcon,,
AE26D2,88-0444,USAF,F-16C Fighting Falcon,,
AE26F5,09-1944,USAF,F-16 Fighting Falcon,,
AE2817,86-0174,USAF,F-15C Eagle,,
AE2863,86-0162,USAF,F-15C Eagle,,
AE29FD,166694,United States Navy,Boeing C-40A Clipper,,
AE29FE,166695,United States Navy,Boeing C-40A Clipper,,
AE2EDB,166094,United States Navy,Raytheon Aircraft Company T-6B Texan II,,
AE2EDD,166096,United States Navy,Raytheon T-6A Texan II,,
AE2EE2,166101,United States Navy,Raytheon T-6A Texan II,,
AE2EE5,166104,United States Navy,Raytheon T-6A Texan II,,
AE4A17,166142,United States Navy,Raytheon T-6A Texan II,,
AE4A18,166143,United States Navy,Raytheon T-6A Texan II,,
AE4A1D,166148,USAF,Raytheon T-6B Texan II,,
AE4A23,166154,United States Navy,Raytheon Aircraft Company T-6B Texan II,,
AE4A26,166157,United States Navy,Raytheon T-6A Texan II,,
AE4A60,166696,United States Navy,Boeing C-40A Clipper,,
AE4AE6,09-0015,USAF,Boeing C-32A,,
AE4AE8,09-0016,USAF,Boeing C-32A,,
AE4AEA,09-0017,USAF,Boeing C-32A,,
AE4AEC,19-0018,USAF,Boeing C-32A,,
AE4D27,11-9001,USAF,Bombardier E-11A,,
AE4DE1,11-9355,USAF,Bombardier E-11A,,
AE4E8D,166164,United States Navy,Raytheon Aircraft Company T-6B Texan II,,
AE4EA5,166187,United States Navy,Raytheon Aircraft Company T-6B Texan II,,
AE4EB1,167956,United States Navy,Boeing P-8A Poseidon,,
AE4EB2,168428,United States Navy,Boeing P-8A Poseidon,,
AE4EB6,168432,United States Navy,Boeing P-8A Poseidon,,
AE4EB7,168433,United States Navy,Boeing P-8A Poseidon,,
AE4EB9,168435,United States Navy,Boeing P-8A Poseidon,,
AE4EBB,168437,United States Navy,Boeing P-8A Poseidon,,
AE4EC0,168755,United States Navy,Boeing P-8A Poseidon,,
AE4EC1,168756,United States Navy,Boeing P-8A Poseidon,,
AE4EC2,168757,United States Navy,Boeing P-8A Poseidon,,
AE4EC3,168758,United States Navy,Boeing P-8A Poseidon,,
AE4EC4,168759,United States Navy,Boeing P-8A Poseidon,,
AE4EC5,168760,United States Navy,Boeing P-8A Poseidon,,
AE4EC6,168761,United States Navy,Boeing P-8A Poseidon,,
AE4EC7,168762,United States Navy,Boeing P-8A Poseidon,,
AE4EC8,168763,United States Navy,Boeing P-8A Poseidon,,
AE4EC9,168764,United States Navy,Boeing P-8A Poseidon,,
AE4EEC,10-0053,USAF,Bell CV-22B Osprey,,
AE503D,09-0540,USAF,Boeing C-40C,,
AE5238,07-08034,United States Army,Boeing-Vertol CH-47F Chinook,,
AE5251,07-08738,United States Army,Boeing-Vertol CH-47F Chinook,,
